DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;ACCOUNT_RK;ACCOUNT_NUMBER;CHAR_TYPE;CURRENCY_RK;CURRENCY_CODE;CLIENT_ID;BRANCH_ID;OPEN_IN_INTERNET
01.01.2018;31.12.2050;36237725;30425840700000583001;A;35;840;;101;
01.01.2018;31.12.2050;24656;30114840700000770002;A;35;840;2;107;
01.01.2018;31.12.2050;18849846;30109810500000435003;P;34;643;5;201;Y
01.01.2018;31.12.2050;1972647;30111810700000908001;P;34;643;3;101;
01.01.2018;31.12.2050;34157174;30424810100000583001;A;34;643;17;127;Y
01.01.2018;31.12.2050;48829156;30425810700000583002;A;34;643;43;;
01.01.2018;31.12.2050;13905;30202810900000002001;A;34;643;12;101;
01.01.2018;31.12.2050;17244;30111810900000672001;P;34;643;;127;
01.01.2018;31.12.2050;34156787;30236826400000009001;P;31;826;16;201;Y
01.01.2018;31.12.2050;17132;30111810000000666001;P;34;643;19;101;
01.01.2018;31.12.2050;13560;30110810300000008001;A;34;643;20;105;Y
01.01.2018;31.12.2050;17439;30111810500000438001;P;34;643;4;;
01.01.2018;31.12.2050;17434;30111810900000051004;P;34;643;9;101;
01.01.2018;31.12.2050;13630;30102810900000002185;A;34;643;21;;
01.01.2018;31.12.2050;277937699;30221810900000026000;A;34;643;51;101;Y
01.01.2018;31.12.2050;13906;30114756800000051003;A;30;756;40;105;
01.01.2018;31.12.2050;14136;30220826800838890001;P;31;826;;107;
01.01.2018;31.12.2050;13904;30204810500000002001;A;34;643;37;201;Y
01.01.2018;31.12.2050;34157147;30236840000000003001;P;35;840;81;;
01.01.2018;31.12.2050;14138;30220978800838890001;P;44;978;24;105;Y
