DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;ACCOUNT_RK;ACCOUNT_NUMBER;CHAR_TYPE;CURRENCY_RK;CURRENCY_CODE;CLIENT_ID;BRANCH_ID;OPEN_IN_INTERNET
15.02.2018;31.12.2050;36237725;30425840700000583001;A;35;840;61;101;Y
15.02.2018;31.12.2050;48829156;30425810700000583002;A;34;643;43;108;
15.02.2018;31.12.2050;17244;30111810900000672001;P;34;643;99;127;
15.02.2018;31.12.2050;34156787;30236826400000009001;P;31;826;16;201;Y
15.02.2018;31.12.2050;13560;30110810300000008001;A;34;643;20;105;Y
15.02.2018;31.12.2050;17439;30111810500000438001;P;34;643;4;101;
15.02.2018;31.12.2050;13630;30102810900000002185;A;34;643;21;203;
15.02.2018;31.12.2050;277937699;30221810900000026000;A;34;643;51;101;N
15.02.2018;31.12.2050;14136;30220826800838890001;P;31;826;57;107;
15.02.2018;31.12.2050;24753;30114124400000004011;A;42;124;97;101;
15.02.2018;31.12.2050;17442;30111810800000565001;P;34;810;82;107;Y
